ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_6,BILL_AMT6,PAY_5,BILL_AMT5,PAY_4,BILL_AMT4,PAY_3,PAY_2,PAY_0,BILL_AMT1,BILL_AMT2,BILL_AMT3,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
7459,80000,2,2,1,37,-1,0,-1,914,-1,2760,-1,2,1,2626,2410,3237,0,3237,2760,914,0,0,0
7460,260000,2,2,2,30,0,52615,0,52140,0,52261,0,0,0,34405,52512,52263,20000,1826,1971,2000,2500,2000,0
7461,5.00E+05,1,2,1,41,0,127391,0,153348,0,139757,0,0,0,171565,184782,152365,20241,20154,20019,20151,20037,21,0
7462,90000,1,1,2,52,0,29923,0,27751,0,27535,0,0,0,91656,87106,48730,5110,2000,3000,1000,3000,3000,0
7463,360000,2,2,1,38,-1,1995,-1,183,-1,3580,-1,-1,-1,1604,238,2402,239,2414,3597,183,2005,3635,0
7464,360000,1,3,2,34,-1,1440,-1,2216,-1,1219,-1,-1,-1,3821,1937,944,1937,944,1219,2216,2000,648,0
7465,1.00E+05,2,2,2,25,-1,980,-1,0,-1,674,0,0,0,8791,4910,0,1000,0,674,0,980,4413,0
7466,2.00E+05,1,2,2,36,0,187082,0,187050,0,189457,0,0,0,190120,194533,194175,9000,9000,8000,10000,8000,7000,1
7467,490000,2,2,2,52,0,50844,0,47622,0,46634,0,0,0,191937,194347,202400,7133,11365,1700,1740,4026,2060,0
7468,460000,1,1,1,40,0,74979,0,76055,0,82326,0,0,0,100026,89681,81812,5095,5011,5047,4021,4071,3000,0
7469,20000,1,1,2,39,2,16199,2,13431,2,13795,2,2,1,10968,12495,11998,2000,0,2000,0,3000,0,1
7470,230000,2,2,1,35,0,55380,0,55199,0,61129,0,0,0,76050,76921,65452,3000,4000,3000,3000,2000,3000,0
7471,170000,2,2,2,28,0,175304,0,176160,0,177952,0,0,0,169531,174799,179868,8000,8000,7000,7000,8000,9000,0
7472,60000,2,3,1,63,0,24083,0,23888,0,28198,0,0,0,56285,56894,57006,5000,2156,3017,2009,3000,3000,0
7473,90000,2,2,1,33,0,48144,0,44230,0,47804,2,0,0,26772,70398,56266,56388,112,1779,1786,5414,2418,0
7474,160000,1,1,1,38,-2,0,-2,0,-2,0,-1,-1,1,0,499,0,499,0,0,0,0,0,0
7475,20000,1,2,2,30,0,20172,0,20044,0,20016,2,2,2,20586,20568,20185,1300,700,700,1700,1600,700,1
7476,5.00E+05,2,1,1,36,-2,200,-2,0,-2,0,-2,-2,1,0,0,0,0,0,0,0,200,159200,0
7477,30000,2,2,1,42,0,17884,0,12092,0,11933,0,0,0,9801,10535,11552,1200,1200,573,500,6000,1200,1
7478,170000,1,2,2,31,-1,2908,0,2908,-1,9283,-1,-1,-1,2908,3408,2908,3408,2908,9283,0,2908,7163,0
7479,1.00E+05,2,3,1,44,0,62296,0,65499,0,69603,0,0,0,80808,77825,70721,3025,3000,3000,3000,3000,3000,0
7480,50000,1,2,2,39,0,29535,0,29275,0,29862,0,0,0,48493,49073,50370,2109,2406,1278,1036,1115,947,0
7481,110000,1,2,2,28,0,90071,0,107710,2,110876,2,2,2,111541,113676,114223,5400,4000,0,4000,3700,4000,1
7482,20000,2,1,2,23,0,8868,0,8621,0,8444,2,0,0,11672,8584,8279,2424,0,284,294,371,500,0
7483,70000,2,3,2,26,0,40541,0,40749,0,37209,0,0,0,28995,30131,31610,1600,2000,7000,5000,1500,1500,0
7484,310000,2,2,1,42,-1,25594,-2,20097,-2,79227,-2,-2,-2,-606,44878,19950,45484,20033,79520,94,25910,10933,0
7485,30000,1,2,2,28,0,33064,0,32001,2,32493,2,2,2,35991,35751,34639,2000,1200,0,1500,3100,0,1
7486,30000,2,2,1,27,2,25860,2,25427,2,24872,2,0,0,21632,24267,24572,3300,1000,1000,1100,1000,1100,1
7487,1.00E+05,2,1,1,36,-2,0,-2,0,-2,0,0,0,0,51713,25272,0,1000,0,0,0,0,0,0
7488,150000,2,1,2,30,-2,402,-2,4932,-2,0,-2,-2,-2,217,0,2403,0,2403,0,4932,402,3516,0
7489,80000,1,2,2,27,0,28560,0,27017,0,51180,0,0,0,78406,52520,27543,1500,3024,1200,2000,2000,1000,0
7490,2.00E+05,2,3,1,40,2,128229,0,135443,0,137700,0,0,0,158809,150904,144302,5380,5141,5032,9400,4400,0,0
7491,20000,1,2,1,36,0,18598,2,18446,2,20381,2,2,1,19006,18418,20465,0,2690,900,0,1000,1000,1
7492,30000,1,2,1,33,0,29146,0,56186,0,27017,0,0,0,23900,25507,26489,2000,1418,946,1437,3000,0,0
7493,50000,2,3,1,42,0,16427,0,16109,0,15778,0,0,0,13436,14460,15472,1246,1258,564,585,586,608,0
7494,130000,2,5,1,32,0,14817,0,14855,0,14693,-1,-1,0,3275,376,17055,376,17055,575,449,1000,339,0
7495,330000,1,1,2,32,0,121242,0,112633,0,141453,0,0,0,162657,151305,138277,5500,4723,5500,4000,10700,4500,0
7496,80000,2,3,2,53,-2,0,-2,0,-2,19230,-2,-2,-2,5687,0,0,0,0,19230,0,0,0,0
7497,50000,2,1,1,34,-1,3727,-1,6758,-1,14900,-1,-1,-1,2531,14504,22553,14608,22730,14911,6758,3727,2440,0
7498,150000,2,1,2,33,-2,-18,-2,-18,-2,-18,0,0,-1,10544,11982,-18,2000,0,0,0,0,0,0
7499,210000,2,2,1,30,-1,3479,0,3938,0,4746,-1,-1,1,0,241,4651,241,4651,95,301,3479,1000,0
7500,30000,2,2,1,30,-2,0,-2,0,-2,0,2,2,3,30583,29901,0,389,0,0,0,0,0,0
7501,5.00E+05,2,1,2,30,-1,2107,-1,1133,-1,1157,2,-1,1,17144,2447,1221,3678,6,1162,1133,1010,5,0
7502,60000,2,1,2,32,-1,-101,-1,279,-1,0,-1,2,1,31634,5720,18026,0,18026,0,279,0,56839,0
7503,20000,2,2,1,29,0,780,0,480,-1,870,-1,-1,-1,1473,390,390,390,390,870,0,300,1500,0
7504,30000,2,2,2,23,2,28825,0,29446,0,27050,2,2,2,21034,27321,26589,7000,0,1200,3000,0,2000,1
7505,120000,1,2,1,60,2,30511,2,29803,2,29321,2,2,2,27497,27960,28996,1200,1800,1100,1100,1350,1500,1
7506,80000,2,2,1,37,0,55623,0,59456,0,57028,0,2,1,79900,64815,52806,21,1819,5000,4000,4000,1894,1
7507,360000,2,1,1,35,-2,0,-2,0,-2,0,-2,-2,-2,0,0,0,0,0,0,0,0,0,1
7508,150000,1,2,1,36,-1,1534,0,3173,0,19467,-1,-1,-1,6750,15227,17610,15227,17610,10055,0,1534,0,0
7509,10000,2,3,2,51,0,0,0,6091,0,7928,0,0,0,53095,54562,5428,2134,1000,2500,122,0,0,0
7510,230000,2,3,1,30,0,49586,0,53103,0,133431,0,-1,0,134272,238601,135099,107000,3826,5000,5000,2000,3000,0
7511,380000,2,3,2,31,-1,13680,-1,12483,-1,11147,-1,-1,-1,3859,9194,15157,9240,15233,11202,12493,13748,18061,0
7512,350000,2,1,2,48,-2,0,-2,0,-2,790,-2,-2,-2,0,7900,7620,7900,0,790,0,0,1948,0
7513,130000,2,2,2,23,0,99525,0,104254,0,103969,0,0,0,113900,109062,105252,5000,6000,10000,10000,5000,9000,0
7514,490000,2,1,2,29,0,27630,0,27540,0,27870,-1,-1,-2,4301,16230,28800,16388,28800,0,0,6136,3080,0
7515,150000,2,2,2,28,-2,0,-1,0,-1,1623,0,-1,0,12272,4447,5228,4447,1000,1623,0,0,0,0
7516,340000,2,2,2,38,-2,0,-2,0,-2,0,-2,-2,-2,0,780,0,780,0,0,0,0,0,1
7517,80000,2,1,2,52,-2,0,-2,0,-2,0,-2,-2,1,0,0,0,0,0,0,0,0,0,0
7518,230000,2,1,2,36,-2,2794,-2,0,-2,1279,-2,-2,-2,0,0,0,0,0,1279,0,2794,0,0
7519,160000,1,2,2,37,0,111924,0,112678,0,113256,0,0,0,119165,118392,117553,6008,6011,3606,3803,4003,3311,0
7520,3.00E+05,2,2,1,33,-1,126,-2,0,-1,0,-1,-1,-1,1326,0,256,0,256,0,0,126,0,0
7521,4.00E+05,2,2,1,24,0,59922,0,23440,0,39276,0,0,0,176294,190256,89128,44776,1502,2026,1015,52100,5101,0
7522,80000,2,2,1,45,-1,390,-1,390,-1,390,-1,-1,-1,390,390,390,390,390,390,390,390,390,0
7523,320000,1,2,1,45,-1,-23,-1,977,-1,6290,-1,-1,-1,1471,5184,4144,5318,4160,6296,977,23,0,0
7524,310000,1,1,2,36,-1,7842,-2,18121,-2,21026,-2,-2,-2,17611,24122,26242,10000,4000,0,0,7842,24003,0
7525,270000,2,2,1,32,-2,0,0,199,0,9214,-1,-2,-2,3979,511,10069,511,10069,186,199,0,0,0
7526,280000,2,3,1,53,0,10774,0,9654,0,8932,2,0,0,4405,7322,7043,3000,0,2000,1000,2000,2000,0
7527,330000,1,1,2,31,0,38431,0,40490,-1,40635,-1,0,0,163406,137664,3381,7558,5000,42054,3000,2000,1100,0
7528,50000,1,2,2,49,2,9940,2,10254,2,9404,0,0,0,7282,8307,9709,1300,1700,0,1000,0,200,0
7529,240000,2,1,2,26,-2,0,-2,0,-2,0,-2,-2,1,0,0,0,0,0,0,0,0,0,1
7530,180000,2,3,2,27,-1,213,-1,0,-1,4079,-1,-1,-1,3898,0,715,0,715,6942,0,213,0,0
7531,270000,1,1,2,28,2,240595,2,235931,2,230751,3,4,4,237881,232799,227597,0,0,8400,9000,8700,9000,1
7532,70000,1,1,2,36,2,53803,2,54839,2,50675,2,2,2,50016,48941,51809,0,4000,0,5000,0,4000,1
7533,290000,1,1,2,27,0,173273,0,166869,0,170282,0,0,0,246284,218441,176099,10000,8000,6500,7000,10000,10000,0
7534,350000,2,1,2,41,-2,0,-2,2398,-2,500,-2,-2,-2,0,3813,1298,3813,1298,500,2398,0,1902,0
7535,210000,1,2,1,54,-1,3483,-1,210,-1,485,-1,-1,2,471,176,195,176,195,485,0,4466,417,0
7536,110000,1,2,2,47,2,58761,2,59876,2,58460,2,2,2,53016,56532,57502,5000,2500,2500,2500,0,5000,1
7537,3.00E+05,1,2,1,32,-2,0,-1,0,-1,579,-1,-1,-1,2884,1706,2960,1706,2964,579,0,0,2937,1
7538,140000,2,2,2,38,2,74954,0,74462,0,79775,0,0,0,141453,132415,130305,8000,3100,3000,5417,0,500,0
7539,80000,1,1,2,27,0,54679,0,53523,0,55780,2,0,0,77111,81555,72868,6384,0,2100,2100,2200,2200,0
7540,360000,2,2,1,42,-2,3103,-2,390,-1,390,-1,-1,-1,44380,968,990,968,990,390,390,3103,0,0
7541,210000,2,2,2,33,0,27168,0,25805,0,24358,0,0,0,19951,21620,23251,2000,2000,1500,2000,1800,1500,0
7542,50000,1,2,2,22,0,20235,0,19663,2,19121,2,2,-1,19875,19273,21133,0,2500,0,1000,1050,600,1
7543,80000,2,1,2,28,-1,-786,-1,2284,-2,0,-2,-2,1,0,0,0,0,0,0,2284,0,0,1
7544,130000,2,3,2,27,0,41585,0,50577,0,53958,0,0,0,49780,51200,88209,2300,50577,2000,2000,1488,1542,0
7545,50000,2,1,2,22,0,20632,0,20425,0,21056,0,0,0,49077,47610,46490,2610,2609,715,930,2000,770,0
7546,80000,2,3,2,34,-2,0,-2,0,-2,0,-2,-2,-2,585,-395,-2241,395,1846,8759,0,0,0,0
7547,350000,1,1,2,35,-1,1006,2,0,2,135,2,-1,-1,3260,4248,785,4273,0,0,1006,1006,0,0
7548,330000,2,2,1,37,-2,7255,-2,0,-2,3119,-2,-2,-2,2148,0,3080,0,3080,3119,0,7255,9060,0
7549,80000,2,2,2,23,2,24567,0,25119,0,23654,2,2,2,20661,22515,23339,2500,1500,1000,2000,0,1058,0
7550,280000,2,1,1,51,-1,6202,-1,8360,-1,2408,-1,-1,-1,11223,15225,4951,15262,4951,2408,8360,6202,200,0
7551,30000,1,2,2,49,-2,0,0,0,0,19455,0,0,0,27414,26910,25321,1526,1696,1015,0,0,0,0
7552,2.00E+05,1,3,1,44,0,77822,0,76078,0,74419,0,0,0,69106,70393,73220,3000,4000,3000,3000,3000,3000,0
7553,120000,2,1,2,26,-1,1920,-1,710,-1,444,-1,-1,-1,2897,481,721,485,721,444,710,1920,0,0
7554,50000,2,2,1,38,-2,0,-2,0,-2,0,0,0,0,3239,4166,0,1000,0,0,0,0,0,0
7555,50000,1,2,2,31,0,15441,0,15925,0,14769,0,2,1,18190,12521,14308,0,2000,1000,1542,764,3000,0
7556,3.00E+05,1,1,1,58,2,172804,2,169250,2,165556,2,2,1,158230,160242,156171,6000,0,12000,6500,6500,6500,1
7557,20000,1,2,2,30,0,0,0,1052,0,1231,0,-1,0,12755,832,2800,832,1000,900,500,0,0,0
7558,50000,1,2,2,46,0,17293,0,14563,0,19277,0,0,0,47772,46935,33937,2000,1221,595,1000,3500,2000,1
7559,5.00E+05,2,2,2,44,0,115264,0,107072,0,88888,0,0,0,77257,73089,81210,10000,10000,10000,20000,10000,0,0
7560,130000,2,2,1,40,-1,0,-1,390,0,1651,-1,-1,-1,1445,1445,1651,1445,1651,0,390,0,780,0
7561,70000,2,1,2,28,2,67577,2,66207,2,64585,2,2,2,59794,58267,63931,0,6672,2300,2800,2600,0,1
7562,70000,2,3,2,29,0,14978,0,24818,0,25377,2,-1,-1,24336,25510,24726,3010,0,875,600,1000,600,0
7563,120000,2,2,2,27,2,19539,0,22974,0,30947,0,0,0,36175,37062,32916,3000,2000,1500,2000,0,8000,0
7564,340000,1,2,1,48,0,76237,0,75356,0,76402,0,0,0,73627,75052,76022,3870,3819,2823,2876,2853,2863,0
7565,130000,1,1,2,41,-1,696,-1,316,-1,1076,-1,-1,-1,1392,0,696,0,696,1076,316,696,696,1
7566,240000,1,1,2,33,0,202358,0,199069,0,216017,0,0,0,239009,243242,242128,15018,35521,20003,7009,15018,20100,0
7567,50000,2,2,1,37,2,37592,0,38359,0,34611,0,0,0,28522,29906,34057,1849,5000,1417,4488,0,1540,0
7568,210000,2,2,1,48,0,11876,-1,18954,-1,11876,-1,-1,-1,11876,11876,11876,11876,11876,11876,18954,5000,11876,0
7569,30000,1,2,2,30,2,23139,2,22762,2,21761,2,2,2,20732,21451,20808,1347,0,1300,1500,900,0,1
7570,80000,2,2,2,22,0,29245,0,27712,0,27160,0,0,0,76737,70614,68502,3500,10092,966,2000,2000,1037,0
7571,50000,1,3,1,42,0,29164,0,27903,0,28557,0,0,0,50708,44610,44043,1872,1566,983,1027,3000,999,0
7572,220000,2,3,1,25,0,93903,0,94607,0,93935,0,0,0,93674,123673,92036,3500,4846,3000,3000,3000,10000,0
7573,40000,1,2,1,37,0,19371,0,17664,0,14903,0,2,1,12127,11647,13138,0,2000,2000,3000,2000,2000,0
7574,280000,1,1,2,26,2,271408,2,276026,0,270486,0,0,0,245969,251120,254735,10600,9300,20000,10000,0,11000,0
7575,90000,2,2,1,31,-2,0,-2,0,-2,0,-2,-1,-1,350,0,0,0,0,0,0,0,0,0
7576,180000,2,2,2,39,0,101390,0,98396,0,105844,0,0,0,166915,117351,115402,6000,7030,8000,5396,5390,5006,0
7577,50000,1,2,2,30,0,19358,0,18830,0,18948,0,0,0,32781,31702,26829,1489,1326,642,2000,824,1000,1
7578,320000,1,2,2,27,0,160217,0,157082,0,154025,0,0,0,144648,150320,151365,8000,6000,5671,5700,5741,9900,0
7579,70000,1,2,1,38,0,36995,0,36097,0,38985,0,0,0,52121,53235,52015,1965,1995,1336,1430,1500,1292,0
7580,260000,2,1,2,36,2,1020,2,1996,2,1277,2,2,1,2111,545,2332,0,2007,0,1020,0,923,1
7581,360000,1,1,1,38,0,52585,0,58200,0,93951,0,0,0,277523,117239,121284,4013,90054,9011,3007,2592,1013,0
7582,1.00E+05,2,2,2,38,0,38715,0,43618,0,57847,0,0,0,89842,82669,70018,4025,2511,1523,1292,1236,627,0
7583,1.00E+05,2,1,1,32,0,1045,-1,425,-1,380,-1,-1,-1,380,380,380,380,380,380,425,1000,0,1
7584,140000,2,2,1,39,0,133572,0,137215,0,139761,0,0,0,133641,136663,137110,7000,6010,6000,5400,5000,5200,0
7585,90000,2,2,2,28,0,88351,0,87385,2,86706,2,2,1,83480,89264,89896,8000,3000,0,3000,5000,5000,0
7586,220000,1,1,2,25,0,101037,0,94129,0,90106,0,-1,-1,-1855,84332,85897,88444,4000,5000,5000,8000,5000,0
7587,260000,2,1,2,34,-2,0,-2,3982,-2,0,-2,-2,-2,5237,0,0,0,0,0,3982,0,0,0
7588,260000,2,1,1,42,-2,0,-2,0,-2,0,-1,-1,-1,78,984,0,984,0,0,0,0,0,0
7589,20000,1,1,2,24,-2,0,0,0,0,20000,-1,-1,-1,4720,0,20200,0,20200,0,0,0,0,0
7590,50000,2,1,2,27,0,41297,0,44377,0,43492,0,0,2,49296,50080,50725,1881,1915,1472,4012,2008,10002,0
7591,70000,2,2,2,23,0,65298,0,62047,0,60675,0,0,0,57034,58224,59158,2700,2500,2500,2500,4300,3000,0
7592,170000,2,2,1,36,2,18748,2,18197,2,17131,2,2,2,15031,16784,17711,2500,1500,0,1500,1000,0,1
7593,30000,2,2,2,22,0,24397,0,22303,0,26763,0,0,0,30719,30123,30112,1900,1626,1267,766,10000,919,0
7594,2.00E+05,1,2,2,68,0,152680,0,152765,0,152525,0,0,0,203533,204149,179350,8870,7578,5700,5882,5799,5888,0
7595,50000,2,2,2,39,0,17175,0,19187,0,18786,0,0,0,16729,17772,18419,1620,1267,634,665,668,1000,0
7596,50000,1,2,2,30,-2,0,-2,0,-2,0,-2,-2,1,0,0,0,0,0,0,0,0,0,0
7597,470000,2,2,1,35,0,57368,0,59563,0,61500,0,0,0,64875,57920,59307,2505,3000,3016,2200,3000,1600,0
7598,20000,2,1,2,22,-1,9588,0,9500,-1,10555,-1,-1,-1,7702,274,1395,274,1395,10555,0,9588,491,1
7599,50000,1,2,2,26,-1,0,-1,291,-1,291,-1,-1,2,291,291,291,291,291,291,291,0,873,0
7600,360000,2,2,1,56,0,377820,0,406010,0,430313,0,0,0,500090,477461,455591,15900,16489,14128,13210,10442,9500,0
7601,20000,2,2,3,46,-1,150,0,390,0,390,-1,-2,1,0,0,390,0,390,0,0,150,390,0
7602,140000,2,1,2,26,-1,0,-1,770,-1,0,-1,-1,-1,6208,2136,6573,2136,6573,0,770,0,0,0
7603,10000,2,3,1,47,0,0,0,5275,0,5053,0,0,0,2855,3871,4883,1069,1081,251,375,0,0,1
7604,90000,2,1,2,30,0,23773,0,23211,0,22071,2,0,0,19003,21876,21231,3500,0,1500,1500,1100,2100,0
7605,2.00E+05,2,2,1,46,0,21808,0,11560,0,7360,-1,-1,-1,722,9086,9213,9086,9219,147,4200,11808,4067,0
7606,390000,2,2,1,39,0,15156,-1,15209,-1,1036,-1,-1,-1,827,827,827,827,827,1036,15000,1000,1000,0
7607,90000,2,2,2,25,0,85350,0,83206,0,81878,0,0,0,78651,79972,81415,3600,3805,3100,3200,4100,2500,1
7608,130000,2,1,2,27,-1,2249,-1,1089,0,0,0,-1,1,0,1483,2450,1483,1000,0,1089,2249,2184,0
7609,120000,2,2,2,33,2,520,3,1450,-1,1758,2,-1,1,0,974,194,974,0,1954,0,0,950,1
7610,160000,2,2,1,35,-1,0,-1,1893,-2,0,-2,-1,-1,549,0,0,0,0,0,1893,0,177,0
7611,70000,2,2,2,24,2,63695,2,61865,2,58318,-1,2,2,71339,69515,59878,6,62343,0,4500,3000,2500,0
7612,80000,1,3,1,60,0,28216,0,27634,0,27450,0,0,0,68085,70604,26890,10000,1500,1000,1100,1041,1500,0
7613,250000,2,2,2,36,0,49683,0,49553,0,48483,0,0,0,62131,63238,51547,2741,1741,1824,1942,2100,1366,0
7614,240000,1,2,2,37,0,169245,0,166131,0,169198,0,0,0,171974,175049,176990,8000,7000,6000,5200,5400,5400,0
7615,50000,2,2,2,49,0,7841,0,7357,0,8978,0,0,0,12272,7980,7959,2005,2000,1019,3007,3008,5015,0
7616,30000,2,3,2,23,-1,178,-1,150,0,5080,0,0,0,2277,3158,4080,1078,1000,1000,150,178,300,0
7617,50000,1,3,1,51,0,18732,0,20154,0,19867,0,0,2,55028,50184,50391,3000,1600,1000,1000,1000,1000,1
7618,80000,2,2,2,24,0,-300,0,3400,0,3332,2,-1,-1,2152,3832,3587,2245,0,267,68,0,0,1
7619,130000,1,2,1,47,-2,0,0,0,0,45400,0,0,0,109640,109699,91200,8436,2270,0,0,0,0,0
7620,50000,1,3,2,23,0,3648,0,14618,0,34156,0,0,0,47033,43512,32287,1707,1318,496,1076,708,20027,0
7621,2.00E+05,1,2,1,39,2,321,-1,710,-2,-391,-2,-2,1,-390,-390,-390,0,0,0,1101,1,13988,0
7622,140000,1,3,1,33,0,45859,0,50051,0,53220,0,0,0,140795,93199,64487,3609,2039,3014,2514,1656,1005,0
7623,30000,2,1,2,23,0,23745,0,23029,0,22391,0,0,0,18397,19789,21450,2000,2000,1300,1000,1100,2000,0
7624,20000,2,1,2,25,2,18768,2,18422,2,17412,2,2,1,11729,12236,17994,1000,6000,0,1600,800,800,0
7625,70000,1,2,2,29,2,22817,2,23340,0,22142,0,0,0,18312,19516,20685,1500,1500,1800,1700,0,1300,0
7626,20000,2,3,3,48,0,18668,0,18620,0,18749,0,0,0,19590,19120,18932,1308,1593,800,700,741,531,0
7627,410000,1,1,1,42,0,39251,0,36954,0,34450,0,0,0,27559,29866,32233,3000,2800,3000,3000,3000,2000,0
7628,250000,1,1,1,41,-1,2587,-1,1683,-1,1130,-1,-1,-1,390,390,390,390,390,1130,1683,2587,0,1
7629,140000,2,2,2,27,0,138894,0,138857,0,138035,0,0,2,136308,137077,138919,5150,7750,5000,5379,5200,4850,1
7630,90000,2,1,2,26,0,18828,0,19364,0,15240,0,0,0,17704,14478,17681,5005,5145,1801,5024,8007,5046,0
7631,340000,1,1,1,38,-1,29200,-1,9664,-1,580,-1,-1,-1,325,325,325,325,325,580,9664,29200,5260,0
7632,230000,2,2,1,28,-1,753,-1,0,-1,1012,-1,-1,-1,1190,1716,0,1716,0,1012,0,753,7600,0
7633,80000,1,3,2,33,2,36320,2,37065,2,35784,2,0,0,30013,33514,34662,4000,2000,2000,2000,0,3600,0
7634,50000,2,2,2,42,0,3690,0,4264,0,19825,0,0,0,51521,46015,15057,1451,13609,13327,250,1000,700,1
7635,60000,2,2,1,35,0,38850,0,39714,0,39112,0,0,0,60505,60820,54853,2300,2000,1500,1500,1600,1400,0
7636,50000,2,2,2,24,0,11903,2,11191,0,11519,0,0,0,8587,9941,10950,1500,1481,1050,0,903,333,0
7637,210000,2,2,2,28,0,59537,0,58370,0,55855,0,0,0,145643,133339,137000,4741,5778,1955,3370,1913,1998,0
7638,140000,2,1,2,27,0,95052,0,113639,0,110852,0,0,0,135249,138577,141555,5500,5700,4200,4700,3800,4000,0
7639,20000,1,3,2,32,2,7287,2,6635,0,6891,0,0,0,4338,5355,6369,1092,1106,628,0,762,0,0
7640,20000,1,3,3,48,0,10258,0,20106,0,14457,-1,-2,1,-739,-5978,16089,0,42400,289,201,410,0,1
7641,230000,1,1,2,32,-2,500,-2,500,-2,3126,-2,-2,-2,2785,3943,3126,1223,1000,0,0,0,0,0
7642,210000,1,2,2,27,0,26312,0,26236,0,27644,0,0,0,30365,29858,30713,1606,2000,1200,1200,1000,1000,0
7643,20000,1,2,2,34,0,20743,0,16089,0,17567,0,0,0,36773,17288,16212,3210,2000,1600,871,5214,300,0
7644,50000,2,2,2,24,2,48382,0,48760,0,48224,0,0,0,45537,46601,47276,2100,1760,1707,2602,1000,1640,0
7645,30000,1,3,2,49,-1,11400,-1,29220,0,16865,-1,-1,0,15966,240,17433,262,20416,852,29220,728,0,0
7646,50000,2,2,2,36,0,28593,0,28017,0,27358,0,0,0,37329,32540,26601,1500,1500,1200,1100,1042,1009,1
7647,150000,2,1,1,30,2,696,-1,696,0,3601,-1,2,1,44820,14657,20950,0,20962,1,696,0,50348,0
7648,160000,1,2,1,57,-1,307,-1,197,-1,187,2,2,-1,2008,280,-110,0,0,687,400,500,700,0
7649,90000,2,3,1,42,0,6003,0,9143,0,8948,0,0,0,14376,15374,11195,1278,1086,581,273,227,162,0
7650,150000,1,2,1,39,-1,0,-1,7790,-1,2010,-1,-1,-1,10086,32353,13181,32400,13181,2020,7790,0,0,0
7651,2.00E+05,1,3,2,36,-2,0,-2,0,-2,0,-2,-2,-2,45810,0,0,0,0,0,0,0,40714,1
7652,170000,1,1,1,40,0,163570,0,173014,0,169821,0,0,0,171841,171014,168142,7540,7540,6301,6517,6035,6435,0
7653,1.00E+05,2,2,1,38,2,93092,0,95895,0,89428,0,0,0,84883,86616,88207,4000,4500,3500,8000,4000,0,0
7654,20000,1,3,1,39,0,11179,0,12524,0,12630,0,0,0,16946,14960,12772,1529,1161,409,444,405,163,0
7655,30000,1,1,2,24,0,29147,0,28649,0,28580,0,0,0,27576,27089,27986,1500,1500,1050,1100,1000,2000,0
7656,2.00E+05,1,1,2,32,-2,0,-2,0,-2,0,0,0,0,42325,32061,0,2000,0,0,0,0,0,0
7657,180000,1,2,1,46,-1,930,-1,390,-1,0,-1,-1,-1,390,390,390,390,390,0,390,930,135,0
7658,160000,2,2,1,44,-2,0,0,0,0,6600,0,-1,1,0,5621,6468,5621,1000,132,0,0,0,0
7659,80000,2,2,2,31,2,60272,2,61402,0,60099,0,2,1,54207,52775,53906,0,2000,7100,2400,0,4600,0
7660,70000,2,1,1,36,0,9360,0,35345,0,65287,0,0,2,81719,85389,86287,5000,3000,2000,3000,5000,0,0
7661,80000,1,3,2,44,-2,0,-2,0,0,0,0,0,2,78950,79788,70319,2815,1858,0,0,0,0,1
7662,50000,1,2,2,45,0,19687,0,19008,0,19189,0,0,0,48406,49880,47206,2286,1302,678,695,1000,687,1
7663,140000,2,2,1,58,2,77116,2,75508,2,72335,2,2,2,70428,71902,72924,3200,2800,1200,4500,3000,0,1
7664,90000,2,2,1,50,-1,10327,-1,5000,-1,4000,-1,0,0,76025,55440,11227,10374,16926,4000,6000,10327,0,0
7665,120000,2,1,2,27,-2,0,-2,0,-2,0,-2,-1,-1,19333,0,0,0,0,0,0,0,0,0
7666,80000,2,2,2,33,0,57833,0,56703,-1,55541,-1,-2,-2,47867,31925,731,1925,731,56000,2055,2070,4447,0
7667,20000,1,2,2,43,0,19669,0,18669,0,21970,2,3,4,34213,30100,25871,0,0,0,0,1000,53301,1
7668,20000,1,1,2,28,0,0,0,20000,0,20000,-1,2,1,10631,1512,20400,0,20400,0,0,0,0,0
7669,440000,2,2,2,34,-2,565,-2,317,-2,2674,-2,-2,-2,0,200,751,200,751,2700,320,570,0,0
7670,310000,2,2,1,28,0,42901,0,38551,0,150380,0,0,0,106540,110211,208505,5000,1.00E+05,7000,10000,5000,5000,0
7671,80000,2,2,2,25,-1,442,-2,0,-2,0,-2,-2,-2,0,0,0,0,0,0,0,442,1102,0
7672,2.00E+05,1,1,2,28,2,31885,0,36031,0,34125,2,-1,-2,95065,112893,110059,20000,0,34000,2500,0,50000,0
7673,3.00E+05,2,2,1,34,-1,2920,0,1701,0,8048,0,2,1,6451,4828,6858,0,4004,2000,0,2920,2282,1
7674,140000,2,2,1,35,-1,1398,0,2296,0,5753,0,0,0,10215,14293,13035,4293,1004,115,46,1398,6837,0
7675,230000,2,2,1,43,-1,2524,-1,5180,-1,8563,-1,-1,-1,3451,5560,1180,5587,1186,8605,5201,2532,4759,0
7676,130000,2,3,1,38,0,42362,0,47779,0,48481,0,0,0,100443,95794,92765,3516,4112,2007,2516,1119,1016,1
7677,40000,2,5,1,48,0,0,0,39970,0,39970,0,0,0,37896,40262,40370,3292,1400,0,0,0,0,0
